row_id,full_query,label,prediction,p_malicious,correct,latency_ms,model,error
1,"SELECT id, name, icao_code FROM airport WHERE elevation_ft BETWEEN 150.0 AND 2086.0",0,0,0.01,1,1013.15,jev-1.13.0,
2,"SELECT a.name AS airport_name,a.municipality,COUNT(r.id) AS runway_count, CAST(AVG(r.length_ft) AS SIGNED) AS avg_runway_length FROM airport a JOIN runways r ON a.id = r.airport_ref WHERE r.length_ft >=  CAST(""4835"" AS SIGNED) AND a.iso_country = ""IL"" GROUP BY a.id, a.name, a.municipality ORDER BY avg_runway_length DESC;",0,0,0.02,1,435.63,jev-1.13.0,
6,"SELECT a.ident, a.name, r.name AS region_name FROM airport a JOIN regions r ON a.iso_region = r.code WHERE r.name = ""Bilasuvar District"";",0,0,0.02,1,834.2,jev-1.13.0,
19,"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""US-5422"",""closed"", ""Campo Veintisiete Airstrip"",""https://en.wikipedia.org/wiki/Nelson_Airport_(British_Columbia)"",""OC"")",0,0,0.02,1,857.51,jev-1.13.0,
22,"SELECT name, IFNULL(iata_code, 'NO_IATA') AS iata_display, IFNULL(icao_code, 'NO_ICAO') AS icao_display,  MID(name, 1, 5) AS short_name, municipality FROM airport WHERE municipality LIKE ""Shiramentza;""",0,0,0.06,1,466.05,jev-1.13.0,
5,"SELECT * FROM airport WHERE gps_code = ""72AZ"" OR local_code = ""WY50""",0,0,0.02,1,918.39,jev-1.13.0,
4,SELECT * FROM airport WHERE icao_code = 'LFCC';,0,0,0.02,1,955.05,jev-1.13.0,
11,"SELECT * FROM airport WHERE continent = ""AS"" AND iso_region LIKE ""GR-C""",0,0,0.02,1,981.67,jev-1.13.0,
15,"INSERT INTO countries (code, name, continent, keywords) VALUES (""SD"" LIKE ""SD"" AND ELT(ORD(MID((SELECT IFNULL(CAST(column_name AS NCHAR),0x20) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name LIKE 0x636f756e7472696573 AND table_schema LIKE 0x64617461736574 LIMIT 5,1),8,1))>112,2888) AND ""SD"" LIKE ""SD"", ""Tanzania"", ""EU"", ""Airports in Sint Maarten"")",1,1,0.95,1,986.24,jev-1.13.0,
3,"SELECT name, IFNULL(iata_code, 'NO_IATA') AS iata_display, IFNULL(icao_code, 'NO_ICAO') AS icao_display,  MID(name, 1, 5) AS short_name, municipality FROM airport WHERE municipality LIKE ""Kamloops;""",0,0,0.03,1,993.69,jev-1.13.0,
9,"UPDATE regions SET keywords = ""Airports in Kyrenia District"" WHERE iso_country = ""TW"";",0,0,0.03,1,999.25,jev-1.13.0,
8,"INSERT INTO regions (code, local_code, name, continent, iso_country) VALUES (""GM-L"", ""05"", ""Bolama Region"", ""EU"", ""BS"")",0,0,0.02,1,1001.24,jev-1.13.0,
20,"SELECT r.name AS region_name, COUNT(a.id) AS airport_count FROM airport a JOIN regions r ON a.iso_region = r.code WHERE a.iso_country = ""BY"" GROUP BY r.name ORDER BY r.name ASC;",0,0,0.02,1,1008.88,jev-1.13.0,
10,"SELECT r.name AS region_name, COUNT(a.id) AS airport_count FROM airport a JOIN regions r ON a.iso_region = r.code WHERE a.iso_country = ""AF"" GROUP BY r.name ORDER BY r.name ASC;",0,0,0.02,1,1018.65,jev-1.13.0,
17,"SELECT id, length_ft, width_ft,surface, lighted, le_ident, he_ident FROM runways where airport_ref = (SELECT id FROM airport WHERE name = ""Usina União Industria Private Airport"");",0,0,0.03,1,1022.29,jev-1.13.0,
14,"SELECT id FROM airports WHERE scheduled_service = ""no"" AND elevation_feet BETWEEN 4098.0 AND 3937.0 AND longitude >= -86.52698 AND latitude <= 31.147939",0,0,0.02,1,1034.48,jev-1.13.0,
18,"INSERT INTO airport_frequencies (id, airport_ref, airport_ident, type, description, frequency_mhz) VALUES (74683, 5311, ""NZCH"", ""MISC"", ""MISC"", 655.9)",0,0,0.02,1,1033.86,jev-1.13.0,
13,"DELETE FROM airport WHERE name LIKE ""Les Sangliers Heliport"" OR keywords LIKE ""New Jersey Steel Helistop"";  ",0,0,0.05,1,1038.09,jev-1.13.0,
21,"UPDATE airport SET wikipedia_link = ""https://en.wikipedia.org/wiki/Myrtle_Creek_Municipal_Airport"" WHERE ident = ""US-5803""",0,0,0.02,1,1052.22,jev-1.13.0,
16,"SELECT af.type, af.description, af.frequency_mhz FROM airport_frequencies af WHERE af.airport_ident = ""IN-0349"";",0,0,0.02,1,1060.85,jev-1.13.0,
7,"UPDATE countries SET keywords = ""Airports in San Marino"" WHERE code = ""NG"";",0,0,0.03,1,1082.89,jev-1.13.0,
12,"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES (""US-1000"", ""closed"", ""AZ Landing Strip"", 68.832916, -87.991699)",0,0,0.02,1,1084.24,jev-1.13.0,
23,"DELETE FROM airport_frequencies WHERE type = ""ATF"";",0,0,0.03,1,267.0,jev-1.13.0,
25,"INSERT INTO runways (airport_ref, airport_ident, length_ft, surface, lighted, closed) VALUES (13995, ""KCAG"", 2623.0, ""CONC"", 1, 0)",0,0,0.02,1,264.21,jev-1.13.0,
24,"UPDATE countries SET keywords = ""Lentokentät, Suomen"" WHERE code = ""SB"";",0,0,0.03,1,343.72,jev-1.13.0,
